Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Introduction to Plasma Physics and Controlled Fusion,Francis Chen,3rd ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-22308-7,978-3-319-22309-4,EN,English/International,11651,Physics and Astronomy,,,,,,http://doi.org/10.1007/978-3-319-22309-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-22309-4,"Physics; Plasma Physics; Nuclear Energy; Nuclear Energy; Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics); Classical Electrodynamics",Springer International Publishing,Springer
Fluid Dynamics,Michel Rieutord,2015,Graduate/advanced undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-09350-5,978-3-319-09351-2,EN,English/International,11651,Physics and Astronomy,,1868-4513,1868-4521,Graduate Texts in Physics,,http://doi.org/10.1007/978-3-319-09351-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-09351-2,Physics; Fluid- and Aerodynamics; Astrophysics and Astroparticles; Engineering Fluid Dynamics; Geophysics/Geodesy,Springer International Publishing,Springer
Basic Concepts in Computational Physics,"Benjamin A. Stickler, Ewald Schachinger",2nd ed. 2016,Undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-27263-4,978-3-319-27265-8,EN,English/International,11651,Physics and Astronomy,,,,,,http://doi.org/10.1007/978-3-319-27265-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-27265-8,"Physics; Numerical and Computational Physics, Simulation; Mathematical and Computational Engineering; Computational Mathematics and Numerical Analysis; Theoretical and Computational Chemistry",Springer International Publishing,Springer
Mathematical Physics,Sadri Hassani,2nd ed. 2013,Graduate/advanced undergraduate textbook,2013,Springer International Publishing Switzerland,978-3-319-01194-3,978-3-319-01195-0,EN,English/International,11651,Physics and Astronomy,,,,,,http://doi.org/10.1007/978-3-319-01195-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-01195-0,"Physics; Theoretical, Mathematical and Computational Physics; Mathematical Methods in Physics; Numerical and Computational Physics, Simulation; Applications of Mathematics",Springer International Publishing,Springer
Statistics and Analysis of Scientific Data,Massimiliano Bonamente,2nd ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer Science+Busines Media New York,978-1-4939-6570-0,978-1-4939-6572-4,EN,English/International,11651,Physics and Astronomy,,1868-4513,1868-4521,Graduate Texts in Physics,,http://doi.org/10.1007/978-1-4939-6572-4,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-6572-4,"Physics; Mathematical Methods in Physics; Statistics for Engineering, Physics, Computer Science, Chemistry and Earth Sciences; Statistics for Business/Economics/Mathematical Finance/Insurance; Mathematical and Computational Engineering; Complex Systems; Statistical Physics and Dynamical Systems",Springer New York,Springer
Stellar Structure and Evolution,"Rudolf Kippenhahn, Alfred Weigert, Achim Weiss",2nd ed. 2012,Graduate/advanced undergraduate textbook,2012,Springer-Verlag Berlin Heidelberg,978-3-642-30255-8,978-3-642-30304-3,EN,English/International,11651,Physics and Astronomy,,0941-7834,2196-9698,Astronomy and Astrophysics Library,,http://doi.org/10.1007/978-3-642-30304-3,http://link.springer.com/openurl?genre=book&isbn=978-3-642-30304-3,"Physics; Astrophysics and Astroparticles; Fluid- and Aerodynamics; Astronomy, Astrophysics and Cosmology; Nuclear Fusion",Springer Berlin Heidelberg,Springer
Computational Physics,Philipp Scherer,2nd ed. 2013,Graduate/advanced undergraduate textbook,2013,Springer International Publishing Switzerland,978-3-319-00400-6,978-3-319-00401-3,EN,English/International,11651,Physics and Astronomy,,1868-4513,1868-4521,Graduate Texts in Physics,,http://doi.org/10.1007/978-3-319-00401-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-00401-3,"Physics; Numerical and Computational Physics, Simulation; Mathematical Applications in the Physical Sciences; Mathematical and Computational Engineering; Theoretical and Computational Chemistry",Springer International Publishing,Springer
Quantum Mechanics,Daniel Bes,3rd ed. 2012,Graduate/advanced undergraduate textbook,2012,Springer-Verlag Berlin Heidelberg,978-3-642-20555-2,978-3-642-20556-9,EN,English/International,11651,Physics and Astronomy,,1868-4513,1868-4521,Graduate Texts in Physics,,http://doi.org/10.1007/978-3-642-20556-9,http://link.springer.com/openurl?genre=book&isbn=978-3-642-20556-9,"Physics; Quantum Physics; Quantum Field Theories, String Theory",Springer Berlin Heidelberg,Springer
Electricity and Magnetism,Teruo Matsushita,2014,Undergraduate textbook,2014,Springer Japan,978-4-431-54525-5,978-4-431-54526-2,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-4-431-54526-2,http://link.springer.com/openurl?genre=book&isbn=978-4-431-54526-2,"Physics; Classical Electrodynamics; Strongly Correlated Systems, Superconductivity; Mathematical Methods in Physics; Electrical Engineering",Springer Japan,Springer
Foundations of Quantum Mechanics,Travis Norsen,1st ed. 2017,Undergraduate textbook,2017,Springer International Publishing AG,978-3-319-65866-7,978-3-319-65867-4,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-3-319-65867-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-65867-4,Physics; Quantum Physics; Philosophy of Science; History and Philosophical Foundations of Physics,Springer International Publishing,Springer
Introduction to Mathematica® for Physicists,Andrey Grozin,2014,Graduate/advanced undergraduate textbook,2014,Springer International Publishing Switzerland,978-3-319-00893-6,978-3-319-00894-3,EN,English/International,11651,Physics and Astronomy,,1868-4513,1868-4521,Graduate Texts in Physics,,http://doi.org/10.1007/978-3-319-00894-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-00894-3,"Physics; Numerical and Computational Physics, Simulation; Computer Applications in Chemistry; Particle and Nuclear Physics; Mathematical Applications in the Physical Sciences",Springer International Publishing,Springer
Principles of Astrophysics,Charles Keeton,2014,Undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-9235-1,978-1-4614-9236-8,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-1-4614-9236-8,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-9236-8,"Physics; Astronomy, Astrophysics and Cosmology; Classical and Quantum Gravitation, Relativity Theory; Classical Mechanics; Theoretical and Applied Mechanics",Springer New York,Springer
Principles of Musical Acoustics,William M. Hartmann,2013,Undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-6785-4,978-1-4614-6786-1,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-1-4614-6786-1,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6786-1,Physics; Acoustics; Neurobiology; Engineering Acoustics,Springer New York,Springer
Basics of Laser Physics,Karl F. Renk,2nd ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-50650-0,978-3-319-50651-7,EN,English/International,11651,Physics and Astronomy,,1868-4513,1868-4521,Graduate Texts in Physics,,http://doi.org/10.1007/978-3-319-50651-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-50651-7,"Physics; Optics, Lasers, Photonics, Optical Devices; Microwaves, RF and Optical Engineering; Classical Electrodynamics",Springer International Publishing,Springer
Solid-State Physics,"Harald Ibach, Hans Lüth",4th ed. 2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag Berlin Heidelberg,978-3-540-93803-3,978-3-540-93804-0,EN,English/International,11651,Physics and Astronomy,,,,,,http://doi.org/10.1007/978-3-540-93804-0,http://link.springer.com/openurl?genre=book&isbn=978-3-540-93804-0,"Physics; Condensed Matter Physics; Solid State Physics; Spectroscopy and Microscopy; Physical Chemistry; Engineering, general; Strongly Correlated Systems, Superconductivity",Springer Berlin Heidelberg,Springer
Principles of Quantum Mechanics,R. Shankar,2nd ed. 1994,Graduate/advanced undergraduate textbook,1994,Springer Science+Business Media New York,978-0-306-44790-7,978-1-4757-0576-8,EN,English/International,11651,Physics and Astronomy,,,,,,http://doi.org/10.1007/978-1-4757-0576-8,http://link.springer.com/openurl?genre=book&isbn=978-1-4757-0576-8,"Physics; Quantum Physics; Mathematical Methods in Physics; Theoretical, Mathematical and Computational Physics; Classical Mechanics; Elementary Particles, Quantum Field Theory",Springer US,Springer
Group Theory,"Mildred S. Dresselhaus, Gene Dresselhaus, Ado Jorio",2008,Graduate/advanced undergraduate textbook,2008,Springer-Verlag Berlin Heidelberg,978-3-540-32897-1,978-3-540-32899-5,EN,English/International,11651,Physics and Astronomy,,,,,,http://doi.org/10.1007/978-3-540-32899-5,http://link.springer.com/openurl?genre=book&isbn=978-3-540-32899-5,"Physics; Condensed Matter Physics; Group Theory and Generalizations; Theoretical, Mathematical and Computational Physics; Mathematical Methods in Physics; Optical and Electronic Materials",Springer Berlin Heidelberg,Springer
Elementary Mechanics Using Matlab,Anders Malthe-Sørenssen,2015,Undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-19586-5,978-3-319-19587-2,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-3-319-19587-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-19587-2,"Physics; Mathematical Methods in Physics; Classical Mechanics; Numerical and Computational Physics, Simulation",Springer International Publishing,Springer
The Physics of Semiconductors,Marius Grundmann,3rd ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-23879-1,978-3-319-23880-7,EN,English/International,11651,Physics and Astronomy,,1868-4513,1868-4521,Graduate Texts in Physics,,http://doi.org/10.1007/978-3-319-23880-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-23880-7,"Physics; Semiconductors; Nanoscale Science and Technology; Electronics and Microelectronics, Instrumentation; Solid State Physics",Springer International Publishing,Springer
Quantum Mechanics,K.T. Hecht,2000,Graduate/advanced undergraduate textbook,2000,Springer Science+Business Media New York,978-0-387-98919-8,978-1-4612-1272-0,EN,English/International,11651,Physics and Astronomy,,0938-037X,,Graduate Texts in Contemporary Physics,,http://doi.org/10.1007/978-1-4612-1272-0,http://link.springer.com/openurl?genre=book&isbn=978-1-4612-1272-0,Physics; Classical Mechanics,Springer New York,Springer
Transmission Electron Microscopy,"David B. Williams, C. Barry Carter",1996,Graduate/advanced undergraduate textbook,1996,Springer Science+Business Media New York,978-0-306-45247-5,978-1-4757-2519-3,EN,English/International,11651,Physics and Astronomy,,,,,,http://doi.org/10.1007/978-1-4757-2519-3,http://link.springer.com/openurl?genre=book&isbn=978-1-4757-2519-3,"Physics; Spectroscopy and Microscopy; Surface and Interface Science, Thin Films; Solid State Physics; Characterization and Evaluation of Materials; Biological Microscopy",Springer US,Springer
Advanced Quantum Mechanics,RAINER DICK,2nd ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-25674-0,978-3-319-25675-7,EN,English/International,11651,Physics and Astronomy,,1868-4513,1868-4521,Graduate Texts in Physics,,http://doi.org/10.1007/978-3-319-25675-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-25675-7,Physics; Quantum Physics; Quantum Optics; Optical and Electronic Materials; Nanoscale Science and Technology; Nanotechnology,Springer International Publishing,Springer
Physics from Symmetry,Jakob Schwichtenberg,2nd ed. 2018,Undergraduate textbook,2018,Springer International Publishing AG,978-3-319-66630-3,978-3-319-66631-0,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-3-319-66631-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-66631-0,"Physics; Mathematical Methods in Physics; Mathematical Physics; Particle and Nuclear Physics; Topological Groups, Lie Groups",Springer International Publishing,Springer
Problems in Classical Electromagnetism,"Andrea Macchi, Giovanni Moruzzi, Francesco Pegoraro",1st ed. 2017,Undergraduate textbook,2017,Springer International Publishing AG,978-3-319-63132-5,978-3-319-63133-2,EN,English/International,11651,Physics and Astronomy,,,,,,http://doi.org/10.1007/978-3-319-63133-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-63133-2,"Physics; Classical Electrodynamics; Atomic, Molecular, Optical and Plasma Physics; Microwaves, RF and Optical Engineering; Mathematical Applications in the Physical Sciences",Springer International Publishing,Springer
Introductory Quantum Mechanics,Paul R. Berman,1st ed. 2018,Undergraduate textbook,2018,Springer International Publishing AG,978-3-319-68596-0,978-3-319-68598-4,EN,English/International,11651,Physics and Astronomy,,2198-7882,2198-7890,UNITEXT for Physics,,http://doi.org/10.1007/978-3-319-68598-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-68598-4,"Physics; Quantum Physics; Elementary Particles, Quantum Field Theory; Mathematical Applications in the Physical Sciences; Classical Mechanics",Springer International Publishing,Springer
Linear Algebra and Analytic Geometry for Physical Sciences,"Giovanni Landi, Alessandro Zampini",1st ed. 2018,Undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-78360-4,978-3-319-78361-1,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-3-319-78361-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-78361-1,"Physics; Mathematical Methods in Physics; Linear and Multilinear Algebras, Matrix Theory; Mathematical and Computational Engineering; Geometry; Math Applications in Computer Science; Mathematical Applications in the Physical Sciences",Springer International Publishing,Springer
Introduction to General Relativity,Cosimo Bambi,1st ed. 2018,Undergraduate textbook,2018,Springer Nature Singapore Pte Ltd.,978-981-13-1089-8,978-981-13-1090-4,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-981-13-1090-4,http://link.springer.com/openurl?genre=book&isbn=978-981-13-1090-4,"Physics; Classical and Quantum Gravitation, Relativity Theory; Astronomy, Astrophysics and Cosmology",Springer Singapore,Springer
Introduction to Particle and Astroparticle Physics,"Alessandro De Angelis, Mário Pimenta",2nd ed. 2018,Undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-78180-8,978-3-319-78181-5,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-3-319-78181-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-78181-5,Physics; Astrophysics and Astroparticles; Particle and Nuclear Physics,Springer International Publishing,Springer
A First Introduction to Quantum Physics,Pieter Kok,1st ed. 2018,Undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-92206-5,978-3-319-92207-2,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-3-319-92207-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-92207-2,"Physics; Quantum Physics; Mathematical Methods in Physics; Quantum Field Theories, String Theory; Mathematical Applications in the Physical Sciences",Springer International Publishing,Springer
Physics of Oscillations and Waves,Arnt Inge Vistnes,1st ed. 2018,Undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-72313-6,978-3-319-72314-3,EN,English/International,11651,Physics and Astronomy,,2510-411X,2510-4128,Undergraduate Texts in Physics,,http://doi.org/10.1007/978-3-319-72314-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-72314-3,"Physics; Classical Mechanics; Mathematical Methods in Physics; Numerical and Computational Physics, Simulation; Atmospheric Sciences; Fluid- and Aerodynamics",Springer International Publishing,Springer
Quantum Mechanics for Pedestrians 1,Jochen Pade,2nd ed. 2018,Undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-030-00463-7,978-3-030-00464-4,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-3-030-00464-4,http://link.springer.com/openurl?genre=book&isbn=978-3-030-00464-4,"Physics; Quantum Physics; Quantum Field Theories, String Theory; Mathematical Applications in the Physical Sciences; Quantum Information Technology, Spintronics; Mathematical Methods in Physics",Springer International Publishing,Springer
Quantum Mechanics for Pedestrians 2,Jochen Pade,2nd ed. 2018,Undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-030-00466-8,978-3-030-00467-5,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-3-030-00467-5,http://link.springer.com/openurl?genre=book&isbn=978-3-030-00467-5,"Physics; Quantum Physics; Quantum Field Theories, String Theory; Mathematical Applications in the Physical Sciences; Quantum Information Technology, Spintronics",Springer International Publishing,Springer
